IDCASA	CP	ESR_DATETIME	HABITACION
35	48600	2015-07-02 10:58:17	Salon
35	48600	2015-07-02 10:59:24	Puerta
35	48600	2015-07-02 10:59:24	Puerta
35	48600	2015-07-02 10:59:25	Puerta
35	48600	2015-07-02 10:59:25	Puerta
35	48600	2015-07-02 10:59:25	Puerta
35	48600	2015-07-02 11:04:27	Habitación 1
35	48600	2015-07-02 11:10:27	Cocina
35	48600	2015-07-02 11:11:00	Baño pequeño
35	48600	2015-07-02 11:14:07	Entrada
35	48600	2015-07-02 11:15:51	Salon
35	48600	2015-07-02 11:21:12	Entrada
35	48600	2015-07-02 11:31:47	Entrada
35	48600	2015-07-02 11:43:25	Entrada
35	48600	2015-07-02 11:53:40	Entrada
35	48600	2015-07-02 12:15:11	Salon
35	48600	2015-07-02 12:15:23	Entrada
35	48600	2015-07-02 12:31:09	Entrada
35	48600	2015-07-02 12:33:19	Baño pequeño
35	48600	2015-07-02 12:34:25	Entrada
35	48600	2015-07-02 12:34:27	Salon
35	48600	2015-07-02 12:34:29	Entrada
35	48600	2015-07-02 12:42:31	Entrada
35	48600	2015-07-02 12:42:43	Salon
35	48600	2015-07-02 12:49:58	Entrada
35	48600	2015-07-02 12:56:56	Entrada
35	48600	2015-07-02 13:05:19	Entrada
35	48600	2015-07-02 13:13:02	Entrada
35	48600	2015-07-02 13:17:50	Salon
35	48600	2015-07-02 13:20:43	Entrada
35	48600	2015-07-02 13:21:09	Salon
35	48600	2015-07-02 13:21:11	Entrada
35	48600	2015-07-02 13:25:11	Cocina
35	48600	2015-07-02 13:31:03	Cocina
35	48600	2015-07-02 13:42:16	Entrada
35	48600	2015-07-02 13:45:54	Salon
35	48600	2015-07-02 13:45:56	Entrada
35	48600	2015-07-02 13:46:06	Cocina
35	48600	2015-07-02 13:51:46	Cocina
35	48600	2015-07-02 13:59:37	Cocina
35	48600	2015-07-02 14:02:42	Entrada
35	48600	2015-07-02 14:02:44	Salon
35	48600	2015-07-02 14:07:22	Entrada
35	48600	2015-07-02 14:07:26	Cocina
35	48600	2015-07-02 14:19:19	Cocina
35	48600	2015-07-02 14:24:14	Entrada
35	48600	2015-07-02 14:28:08	Salon
35	48600	2015-07-02 14:28:30	Entrada
35	48600	2015-07-02 14:28:32	Salon
35	48600	2015-07-02 14:37:39	Entrada
35	48600	2015-07-02 14:43:48	Entrada
35	48600	2015-07-02 15:07:51	Entrada
35	48600	2015-07-02 15:07:57	Salon
35	48600	2015-07-02 15:10:19	Entrada
35	48600	2015-07-02 15:18:15	Entrada
35	48600	2015-07-02 15:18:22	Baño pequeño
35	48600	2015-07-02 15:24:58	Cocina
35	48600	2015-07-02 15:28:00	Entrada
35	48600	2015-07-02 15:28:03	Salon
35	48600	2015-07-02 15:28:03	Entrada
35	48600	2015-07-02 15:28:04	Entrada
35	48600	2015-07-02 15:28:27	Salon
35	48600	2015-07-02 15:35:43	Entrada
35	48600	2015-07-02 15:46:30	Entrada
35	48600	2015-07-02 15:54:11	Entrada
35	48600	2015-07-02 16:02:19	Entrada
35	48600	2015-07-02 16:12:11	Baño pequeño
35	48600	2015-07-02 16:12:12	Entrada
35	48600	2015-07-02 16:12:15	Salon
